employee_id,age,experience_years,education_level,department,hours_per_week,performance_score,remote,join_date,salary
1126,34,10.7,Bachelor's,HR,42.0,7.7,No,2018-03-28,85895.43
1058,27,4.9,Bachelor's,Finance,38.0,8.7,Yes,2016-10-07,70728.27
1283,32,9.4,High School,Engineering,47.0,7.2,No,2020-10-03,77028.25
1067,30,3.5,Bachelor's,Engineering,40.0,8.8, yes ,2015-09-08,74781.42
1115,35,15.8,PhD,Engineering,30.0,,No,2020-03-03,105788.4
1282,30,8.4,Bachelor's,Sales,43.0,,No,2023-06-10,81965.63
1133,29,3.0,Bachelor's,HR,38.0,6.9,No,2023-07-15,71398.52
1256,35,13.9,High School,Engineering,44.0,7.4,No,2023-09-19,92320.96
1038,27,2.4,Bachelor's,Engineering,40.0,10.0,No,2016-08-14,74547.43
1274,45,22.8,High School,Engineering,40.0,5.4,Yes,2024-04-02,98497.51
1082,42,15.6,Master's,Finance,36.0,9.4,Yes,2019-05-23,99366.37
1244,33,9.3,Bachelor's,Engineering,34.0,6.3,No,2017-11-30,80122.36
1273,44,21.7,Master's,Sales,40.0,8.7,Yes,2017-04-18,114745.23
1109,27,5.7,Master's,Engineering,40.0,5.1,No,2020-05-15,79908.24
1277,44,20.0,High School,Engineering,48.0,6.1,No,2019-10-04,104949.71
1265,43,21.9,High School,Marketing,42.0,7.1,Yes,2024-01-08,97791.78
1004,41,15.0,Bachelor's,Finance,42.0,7.4,No,2024-03-09,98037.48
1081,48,21.6,PhD,Engineering,43.0,7.4,Yes,2022-04-24,120119.26
1190,35,6.0,Bachelor's,HR,33.0,6.1,No,2018-04-13,64310.26
1183,48,23.1,Bachelor's,Marketing,42.0,9.6,No,2015-06-20,118390.99
1092,48,17.8,Bachelor's,Marketing,49.0,5.9,No,2022-02-17,92562.08
1091,25,3.0,Bachelor's,HR,,7.2,No,2016-01-06,74322.43
1208,40,16.6,Bachelor's,Sales,47.0,8.6,No,2017-09-30,98000.96
1263,32,3.5,Bachelor's,Sales,37.0,8.1,No,2015-07-09,72083.0
1075,46,17.7,PhD,Finance,38.0,5.0,No,2016-12-20,107175.35
1296,37,13.1,Bachelor's,HR,39.0,5.9,Yes,2018-11-14,89351.15
1174,32,5.7,Master's,HR,45.0,7.6,No,2022-01-20,73983.59
1103,35,7.9,Master's,Sales,37.0,7.7,Yes,2019-05-30,77055.53
1066,39,13.6,High School,Marketing,37.0,7.2,No,2020-05-04,73826.14
1105,44,22.7,Bachelor's,HR,46.0,5.5,Yes,2021-11-14,114346.23
1089,46,22.2,Master's,Finance,38.0,8.6,No,2022-02-06,119262.0
1015,27,4.5,Bachelor's,Marketing,45.0,7.4, no ,2016-04-09,67930.38
1157,44,16.8,Bachelor's,Marketing,46.0,6.7,Yes,2021-12-29,91339.17
1254,28,7.9,High School,Engineering,,7.6,Yes,2024-03-13,72868.05
1161,29,9.2,Master's,Marketing,37.0,6.6,No,2023-07-15,79219.73
1155,50,24.6,Bachelor's,HR,41.0,9.3,Yes,2016-06-02,107110.57
1003,49,18.3,Master's,Finance,39.0,6.9,Yes,2016-09-08,106800.97
1189,43,13.2,Bachelor's,Marketing,44.0,7.8,Yes,2016-04-13,93741.02
1056,49,23.0,Bachelor's,Sales,38.0,6.5,No,2019-03-19,113231.84
1171,41,16.9,Bachelor's,Engineering,38.0,7.1,No,2018-11-21,108937.46
1194,44,15.8,Bachelor's,Sales,41.0,,No,2019-05-16,98208.43
1211,31,13.7,Bachelor's,Engineering,39.0,8.6,Yes,2021-03-01,93880.18
1195,30,8.5,PhD,Marketing,42.0,7.1,No,2018-05-02,89511.19
1114,45,20.2,Bachelor's,HR,41.0,5.4,Yes,2019-07-18,97610.06
1102,38,15.9,Bachelor's,Engineering,40.0,3.7,Yes,2018-08-24,101542.92
1299,42,15.6,Bachelor's,Engineering,,7.5,Yes,2021-12-15,98290.08
1140,50,24.3,Bachelor's,Engineering,,,No,2019-06-08,113025.59
1177,42,17.3,High School,Sales,32.0,8.6,Yes,2016-12-12,90266.03
1061,32,9.7,Bachelor's,Finance,44.0,8.6,Yes,2017-10-12,80326.82
1231,42,19.9,PhD,Engineering,55.0,8.7,No,2022-06-10,136670.5
1019,31,10.8,Bachelor's,Engineering,42.0,6.1,No,2016-09-03,89839.93
1250,42,21.3,Bachelor's,Marketing,35.0,6.5,No,2015-08-15,111345.22
1071,46,19.3,Master's,Sales,46.0,7.0,No,2024-05-29,109955.59
1262,46,24.8,Master's,Marketing,36.0,7.1,Yes,2023-07-14,120828.42
1237,29,7.0,Master's,Sales,39.0,6.3,Yes,2020-06-09,78647.0
1173,35,12.8,Bachelor's,HR,34.0,8.0,No,2016-03-16,83615.47
1279,42,17.5,Master's,Sales,41.0,6.7,No,2015-04-26,108786.06
1139,33,9.1,Bachelor's,Engineering,48.0,,Yes,2017-08-24,88650.5
1224,31,9.2,High School,Engineering,55.0,6.0,No,2019-08-01,83597.19
1242,52,23.8,High School,Engineering,47.0,5.1,No,2020-09-08,108487.14
1023,27,7.3,Bachelor's,Sales,44.0,9.1, yes ,2018-07-07,82557.16
1246,48,23.2,PhD,Sales,41.0,6.4,Yes,2019-07-30,118259.31
1268,37,17.6,Bachelor's,Engineering,42.0,7.5,Yes,2017-10-10,104914.38
1269,36,9.0,Bachelor's,Engineering,47.0,8.5,Yes,2023-11-05,88864.08
1151,40,22.7,Bachelor's,Marketing,39.0,5.5,No,2023-06-05,102767.82
